"Tumor","psi_1_mean","psi_1_lower","psi_1_upper","psi_2_mean","psi_2_lower","psi_2_upper","psi_3_mean","psi_3_lower","psi_3_upper","X_mean","X_lower","X_upper","N_mean","N_lower","N_upper","phi_mean","phi_lower","phi_upper"
"TARGET.30.PARKGJ.01A",0.330280522774596,0.290574001309805,0.371368652347848,0.40760865657795,0.34340947143086,0.465893711335245,0.262110820647454,0.223060943750533,0.305042957184528,0.258141910265153,0.243652587758634,0.274896250702865,19.6190788361718,16.3171402161658,22.9606232579032,0.363403093758781,0.334037247437264,0.399023347308635
"TARGET.30.PARMFA.01A",0.29485609857767,0.247351025340463,0.352534492821886,0.389630806118134,0.283004711716549,0.471938529057363,0.315513095304196,0.262911659427143,0.375798355410368,0.299124366883712,0.280154987896777,0.323017019653141,21.4422897128681,17.0414031603522,25.9476362946518,0.456692225729914,0.410842645468942,0.519277263352103
"TARGET.30.PARMTT.01A",0.209449694303089,0.17184162399408,0.252925919234521,0.529192116830678,0.448858106102657,0.599797469342515,0.261358188866233,0.213976134776925,0.316146746241785,0.254289741306471,0.23291266824314,0.284676153311094,17.1188726165737,13.3135567858407,20.6628894701454,0.35595126905408,0.313516204174665,0.421232470191502
"TARGET.30.PARNCW.01A",0.163664143583611,0.114255025561904,0.225427569265263,0.442165908411092,0.290646552016093,0.557697555506546,0.394169948005297,0.313301873514185,0.49795877477524,0.309939365877947,0.278410886551785,0.345837090811521,16.60786245964,12.6788096094437,21.06390704437,0.485848706307872,0.406891635923919,0.588299102505194
"TARGET.30.PARNEE.01A",0.238277084506603,0.206713572997486,0.270511503411907,0.534296020211158,0.487486330559505,0.580619562006989,0.227426895282238,0.194640082301616,0.261306505393275,0.213355169779367,0.199871427467129,0.22684701014695,19.5632105374988,16.7175537224787,22.5435338684778,0.278325038588941,0.255198570303705,0.302288028926912
"TARGET.30.PARNNC.01A",0.413215948626813,0.366026068279849,0.464973602995299,0.495469994123263,0.434133107160229,0.554351556311911,0.0913140572499246,0.0645529355984838,0.120672212419659,0.27070306058154,0.254927119436757,0.289826673270496,20.7699026763051,16.8493940887208,24.7087032452851,0.390175366435308,0.356526230216584,0.433337771446165
"TARGET.30.PARNTS.01A",0.278590301652187,0.230572273736522,0.331182825291398,0.28633804249676,0.185059469254197,0.380983727096377,0.435071655851053,0.374352562264857,0.500949976103832,0.316097025617053,0.29880912402413,0.333637821499271,20.3415468950754,17.0255239291668,23.9042374971796,0.500685728682503,0.455177004639261,0.550220444306518
"TARGET.30.PARRBU.01A",0.38181110442021,0.337852619785216,0.428094613495327,0.522627603752527,0.463719407572814,0.577686606005576,0.0955612918272628,0.0685052580528818,0.125713024804287,0.239345595507993,0.22295913459635,0.257479442264104,17.4921933162965,14.533788951101,20.5103509126634,0.325991388335775,0.295221537331736,0.361760808738627
"TARGET.30.PARSBI.01A",0.15843000279012,0.129922477957856,0.189840752498362,0.353453385588129,0.295616276933139,0.4047683298772,0.48811661162175,0.445211464650131,0.535533545935741,0.241511934776018,0.227964461963316,0.256373635073665,18.117922083538,15.297287857804,21.1183960393517,0.330075726611221,0.304337693057579,0.359486169334783
"TARGET.30.PARSEA.01A",0.252945657457302,0.108224584171464,0.424209627907089,0.537662769506609,0.314461995849015,0.767883323332949,0.209391573036089,0.0878153913761547,0.363020012411135,0.45216812873563,0.356904393335943,0.497941030692726,15.7527286434467,13.5543777397343,20.9515156628113,1.36662378555814,0.625547567655036,2.74620418999271
"TARGET.30.PARSHT.01A",0.112509582441736,0.0883993974915623,0.138652182201833,0.296060537813055,0.242175929343583,0.345252288356015,0.591429879745208,0.547354147176952,0.639357544866508,0.269593725626901,0.258503342378596,0.282281302293622,22.9659812877558,19.4187020959793,26.5875736436725,0.387555085271483,0.363876232756344,0.41570212320636
"TARGET.30.PARSRJ.01A",0.33575750555728,0.299242358111653,0.372792607884723,0.37849609032884,0.321175970883281,0.434062467273388,0.28574640411388,0.245135026239424,0.327708731320973,0.241906394223949,0.228637526224003,0.256529749106507,19.1572142839858,16.2375847432404,22.236977695258,0.33083448947024,0.305576314829117,0.359806668149438
"TARGET.30.PARURB.01A",0.340184503864339,0.29857825084808,0.384553594756056,0.366552849464457,0.293762368827435,0.431600417652263,0.293262646671203,0.251050316714251,0.340050078332695,0.277087706601807,0.262233179233475,0.294453392358467,21.3960654973693,17.4668229267201,25.2859888992165,0.404258046355555,0.371658824870177,0.444467645151663
"TARGET.30.PARUXY.01A",0.228462577465253,0.159505261846776,0.307108189869042,0.432632068524609,0.267347333623794,0.578078814138406,0.338905354010138,0.248953852166715,0.43926331449472,0.350527429390609,0.319148541541987,0.384148528680134,19.8566780854783,14.5203769844169,25.460751103852,0.607061943645859,0.508466037885612,0.731149574763004
"TARGET.30.PARVLK.01A",0.311447491700965,0.278731197387079,0.344563551701356,0.407148010189794,0.366069265301013,0.449686152580942,0.28140449810924,0.249049167641533,0.314147719653348,0.229179986448812,0.219001142639712,0.239301218156349,24.3333865694444,21.2077907770198,27.6121707510435,0.30666744280584,0.288128747716385,0.325621225128786
"TARGET.30.PARVME.01A",0.214311438579876,0.179608056698337,0.252369670550112,0.431771988188966,0.364197566344646,0.491568266183803,0.353916573231158,0.309343522886871,0.404214590713074,0.268568442630177,0.253180899575486,0.288297238854332,21.5053562396223,17.1253153619293,25.5896665946529,0.385529498066977,0.35297620854135,0.429712439697666
"TARGET.30.PARXLM.01A",0.291153262900562,0.214577792044948,0.401820791777756,0.525769208577291,0.350322451646181,0.65371511066386,0.183077528522147,0.118901360300208,0.265378100414737,0.328300690767022,0.286995390254359,0.385973940318059,17.7668939514877,11.7418195781292,24.1252631959708,0.541499770204047,0.426647145493676,0.739090542152363
"TARGET.30.PARYNK.01A",0.261132442144265,0.214831013621758,0.316742179915322,0.450641738586301,0.35038282615062,0.527227261219146,0.288225819269434,0.241076302575584,0.345678091242231,0.292673979254381,0.273249036358485,0.319519242417337,21.5823091903898,16.6565392027076,26.6003976999135,0.440974269672354,0.395377879827451,0.509491966437539
"TARGET.30.PARZCJ.01A",0.231815211226805,0.16518477453771,0.346880178365451,0.590632676081349,0.393464690744031,0.709570861396084,0.177552112691846,0.112375142997752,0.277046145532598,0.306941395785225,0.261481764753879,0.424129943447296,16.3975112581075,9.04652215493784,22.294618544637,0.495456398228183,0.370081166570085,0.942793018509462
"TARGET.30.PARZHA.01A",0.250503713199435,0.207547099000174,0.296656933177872,0.565867431411731,0.496645513352735,0.630803591902795,0.183628855388834,0.14616449160626,0.22456273932622,0.236897608385869,0.215970563658555,0.26103247619971,16.8693685181013,13.6053641087741,20.1511169019896,0.321508671297306,0.282765108295372,0.369140219727072
"TARGET.30.PARZIP.01A",0.266967278723264,0.225892095438977,0.315484228313924,0.44823053079881,0.357557325453867,0.518178817142175,0.284802190477926,0.23911948491897,0.341513459838744,0.279817085238726,0.26183677158991,0.304927686744768,20.4069633418186,15.8818323548999,24.6561237291777,0.410692088670549,0.370825913110491,0.470618885713816
"TARGET.30.PASATK.01A",0.14732032579657,0.115203383920425,0.183343214878284,0.51355120330905,0.439153613607128,0.575963359441796,0.33912847089438,0.293135385751561,0.392682214475788,0.276391915911109,0.257828636535902,0.301470179372653,21.0460529325775,16.1246715440481,25.531614854048,0.402993067719208,0.362481254686754,0.46183439089299
"TARGET.30.PASAZJ.01A",0.0805873837484284,0.0490423229348311,0.119199219553577,0.444603050742537,0.31102290205581,0.538376754991902,0.474809565509034,0.397685135892727,0.583361222065077,0.308821688268556,0.282128257349556,0.344597393246786,17.7183803461119,13.447308258732,22.2371758763884,0.482541135139602,0.415350772619549,0.58429444312908
"TARGET.30.PASBEN.01A",0.26191446232973,0.132242222008167,0.510191700280136,0.65816971088475,0.34608832951696,0.835042018251824,0.0799158267855197,0.0256542154337769,0.178636878825032,0.372874043781893,0.300203028183315,0.453499291557283,21.7061087421067,16.025698366145,28.9109323988559,0.726989606577074,0.458653194198955,1.18757027535447
"TARGET.30.PASCFC.01A",0.294886766487881,0.181548327629566,0.427029890624529,0.502979060809155,0.302307993132749,0.695504527548616,0.202134172702965,0.0950843133717433,0.310757422547452,0.394949025889844,0.343228756570226,0.474130268582404,17.8250953776826,12.3788972721962,25.5047819697103,0.821715210920858,0.579910202943304,1.48076725590189
